N, MergeSort, QuickSort, InsertionSort, SelectionSort, TimSort, HybridSort
10000,1235500,1267598,99273284,160993842,1735432,1166308
20000,2496194,2759422,430159080,643633634,4141444,2467438
30000,4227342,3958242,872435024,1431588938,6232444,3864112
40000,5826546,5468742,1667724698,2548622016,7940824,5278168
50000,7687406,7174824,2556439392,3991739864,10746838,6936652
60000,8573778,8263896,3766172084,5755486668,12742758,8438442
70000,9977152,9472504,5196400290,7848458804,15528514,10096178
80000,11758636,10996614,6842935864,10270999608,18509402,11695582
90000,13337732,12433276,8749230720,12989703412,21880816,13576638
100000,14979296,14114670,10843594084,16066445710,24251658,15187930
